codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha
01001-01004,2024,3,21.0,21,7.0476190476190474,63568.52380952381,SIN MARCA,48.0,0.0,0.0,2024-03-01
01001-01004,2024,4,17.0,17,7.205882352941177,92155.0,SIN MARCA,48.0,0.0,0.0,2024-04-01
01001-01004,2024,5,8.0,8,7.4375,80650.125,SIN MARCA,48.0,0.0,0.0,2024-05-01
01001-01004,2024,6,10.0,10,7.7,86199.4,SIN MARCA,48.0,0.0,0.0,2024-06-01
01001-01004,2024,7,14.0,14,8.642857142857142,79900.14285714286,SIN MARCA,48.0,0.0,0.0,2024-07-01
01001-01004,2024,8,17.0,17,9.382352941176471,74904.05882352941,SIN MARCA,48.0,0.0,0.0,2024-08-01
01001-01004,2024,9,20.0,20,9.5,79079.1,SIN MARCA,48.0,0.0,0.0,2024-09-01
01001-01004,2024,10,7.0,7,9.5,94957.57142857143,SIN MARCA,48.0,0.0,0.0,2024-10-01
01001-01004,2024,11,16.0,16,9.5,78820.3125,SIN MARCA,48.0,0.0,0.0,2024-11-01
01001-01004,2024,12,15.0,15,9.5,81678.46666666666,SIN MARCA,48.0,0.0,0.0,2024-12-01
01001-01004,2025,1,24.0,24,9.5,92502.0,SIN MARCA,48.0,0.0,0.0,2025-01-01
01001-01004,2025,2,16.0,16,9.5,80101.4375,SIN MARCA,48.0,0.0,0.0,2025-02-01
01001-01004,2025,3,18.0,18,9.5,111188.94444444444,SIN MARCA,48.0,0.0,0.0,2025-03-01
01001-01004,2025,4,20.0,20,9.5,77598.75,SIN MARCA,48.0,0.0,0.0,2025-04-01
01001-01004,2025,5,19.0,19,9.5,85198.47368421052,SIN MARCA,48.0,0.0,0.0,2025-05-01
01001-01004,2025,6,16.0,16,9.5,102317.5,SIN MARCA,48.0,0.0,0.0,2025-06-01
01001-01004,2025,7,11.0,11,9.5,92298.81818181818,SIN MARCA,48.0,0.0,0.0,2025-07-01
01001-01004,2025,8,11.0,11,9.5,59196.545454545456,SIN MARCA,48.0,0.0,0.0,2025-08-01
01001-01004,2025,9,11.0,11,9.5,97460.09090909091,SIN MARCA,48.0,0.0,0.0,2025-09-01
01001-01004,2025,10,14.0,14,9.5,102247.14285714286,SIN MARCA,48.0,0.0,0.0,2025-10-01
01001-01004,2025,11,18.0,18,9.5,75411.05555555556,SIN MARCA,48.0,0.0,0.0,2025-11-01
01001-01004,2025,12,19.0,19,9.5,76315.68421052632,SIN MARCA,48.0,0.0,0.0,2025-12-01
01001-01004,2026,1,18.0,18,9.5,104331.33333333333,SIN MARCA,48.0,0.0,0.0,2026-01-01
01001-01004,2026,2,24.0,24,9.5,92667.375,SIN MARCA,48.0,0.0,0.0,2026-02-01
01001-01004,2026,3,10.0,10,9.5,60662.7,SIN MARCA,48.0,0.0,0.0,2026-03-01
01001-01004,2026,4,18.0,18,9.5,85240.38888888889,SIN MARCA,48.0,0.0,0.0,2026-04-01
01001-01004,2026,5,14.0,14,9.5,84269.14285714286,SIN MARCA,48.0,0.0,0.0,2026-05-01
01001-01005,2024,3,3.0,1,41.96,143517.0,HONDA,9.0,0.0,0.0,2024-03-01
01001-01005,2024,4,1.0,1,41.96,73123.0,HONDA,9.0,0.0,0.0,2024-04-01
01001-01005,2024,5,6.0,2,41.96,157326.0,HONDA,9.0,0.0,0.0,2024-05-01
01001-01005,2024,8,3.0,1,60.0,138480.0,HONDA,9.0,0.0,0.0,2024-08-01
01001-01005,2024,9,5.0,1,80.0,121154.0,HONDA,9.0,0.0,0.0,2024-09-01
01001-01005,2024,11,4.0,2,60.0,128220.0,HONDA,9.0,0.0,0.0,2024-11-01
01001-01005,2024,12,1.0,1,60.0,1.0,HONDA,9.0,0.0,0.0,2024-12-01
01001-01005,2025,2,3.0,1,60.0,105124.0,HONDA,9.0,0.0,0.0,2025-02-01
01001-01005,2025,3,8.0,2,60.0,134943.0,HONDA,9.0,0.0,0.0,2025-03-01
01001-01005,2025,5,10.0,3,60.0,142569.33333333334,HONDA,9.0,0.0,0.0,2025-05-01
01001-01005,2025,7,2.0,1,60.0,48145.0,HONDA,9.0,0.0,0.0,2025-07-01
01001-01005,2025,8,3.0,1,60.0,175990.0,HONDA,9.0,0.0,0.0,2025-08-01
01001-01005,2026,4,8.0,2,60.0,127131.0,HONDA,9.0,0.0,0.0,2026-04-01
01001-01005,2026,5,4.0,1,60.0,123250.0,HONDA,9.0,0.0,0.0,2026-05-01
01001-01006,2024,2,2.0,2,45.0,73427.0,SIN MARCA,4.0,0.0,0.0,2024-02-01
01001-01006,2024,3,9.0,3,45.0,49629.333333333336,SIN MARCA,4.0,0.0,0.0,2024-03-01
01001-01006,2024,4,2.0,2,45.0,63196.5,SIN MARCA,4.0,0.0,0.0,2024-04-01
01001-01006,2024,7,7.0,3,50.0,105632.66666666667,SIN MARCA,4.0,0.0,0.0,2024-07-01
01001-01006,2024,8,5.0,4,46.0,75925.5,SIN MARCA,4.0,0.0,0.0,2024-08-01
01001-01006,2024,9,8.0,3,45.0,77471.66666666667,SIN MARCA,4.0,0.0,0.0,2024-09-01
01001-01006,2024,10,8.0,4,45.0,94808.0,SIN MARCA,4.0,0.0,0.0,2024-10-01
01001-01006,2024,11,5.0,5,45.0,72098.0,SIN MARCA,4.0,0.0,0.0,2024-11-01
01001-01006,2024,12,8.0,5,45.0,83090.4,SIN MARCA,4.0,0.0,0.0,2024-12-01
01001-01006,2025,1,8.0,4,45.0,102560.0,SIN MARCA,4.0,0.0,0.0,2025-01-01
01001-01006,2025,3,3.0,1,45.0,44314.0,SIN MARCA,4.0,0.0,0.0,2025-03-01
01001-01006,2025,8,4.0,2,45.0,52231.0,SIN MARCA,4.0,0.0,0.0,2025-08-01
01001-01006,2025,11,6.0,2,45.0,152147.0,SIN MARCA,4.0,0.0,0.0,2025-11-01
01001-01006,2026,1,8.0,4,45.0,78300.5,SIN MARCA,4.0,0.0,0.0,2026-01-01
01001-01006,2026,2,3.0,1,45.0,83700.0,SIN MARCA,4.0,0.0,0.0,2026-02-01
01001-01006,2026,3,5.0,2,45.0,75400.0,SIN MARCA,4.0,0.0,0.0,2026-03-01
01001-01006,2026,4,2.0,1,45.0,90985.0,SIN MARCA,4.0,0.0,0.0,2026-04-01
01001-01006,2026,5,2.0,1,45.0,89113.0,SIN MARCA,4.0,0.0,0.0,2026-05-01
01001-01007,2025,5,3.0,1,114.41,97660.0,SIN MARCA,0.0,0.0,0.0,2025-05-01
01001-01007,2025,10,4.0,1,114.41,100011.0,SIN MARCA,0.0,0.0,0.0,2025-10-01
01001-01007,2025,11,4.0,1,114.41,100723.0,SIN MARCA,0.0,0.0,0.0,2025-11-01
01001-01007,2026,3,4.0,2,114.41,103119.0,SIN MARCA,0.0,0.0,0.0,2026-03-01
01001-010078,2025,1,9.0,3,45.0,76291.66666666667,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-01-01
01001-010078,2025,2,10.0,7,45.0,86382.42857142857,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-02-01
01001-010078,2025,3,3.0,3,45.0,83655.33333333333,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-03-01
01001-010078,2025,4,9.0,6,37.333333333333336,110306.16666666667,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-04-01
01001-010078,2025,5,3.0,2,45.0,55154.0,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-05-01
01001-010078,2025,6,6.0,3,47.699999999999996,97406.66666666667,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-06-01
01001-010078,2025,7,4.0,2,45.0,129119.5,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-07-01
01001-010078,2025,8,1.0,1,45.0,58562.0,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-08-01
01001-010078,2025,9,4.0,4,45.0,60493.75,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-09-01
01001-010078,2025,10,2.0,1,45.0,80147.0,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-10-01
01001-010078,2025,12,3.0,2,45.0,87465.5,MAXX POWER BLUECHEM,0.0,0.0,0.0,2025-12-01
01001-010078,2026,1,5.0,3,45.0,121297.66666666667,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-01-01
01001-010078,2026,2,1.0,1,45.0,78332.0,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-02-01
01001-010078,2026,3,12.0,5,45.0,89819.6,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-03-01
01001-010078,2026,4,9.0,6,45.0,88902.83333333333,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-04-01
01001-010078,2026,5,8.0,5,45.0,156389.6,MAXX POWER BLUECHEM,0.0,0.0,0.0,2026-05-01
01001-01008,2024,2,5.0,1,41.5,143335.0,SIN MARCA,13.0,0.0,0.0,2024-02-01
01001-01008,2024,4,6.0,1,45.0,133136.0,SIN MARCA,13.0,0.0,0.0,2024-04-01
01001-01008,2024,5,15.0,3,45.0,125000.66666666667,SIN MARCA,13.0,0.0,0.0,2024-05-01
01001-01008,2024,6,3.0,2,45.0,107134.0,SIN MARCA,13.0,0.0,0.0,2024-06-01
01001-01008,2024,8,5.5,2,50.83,103867.0,SIN MARCA,13.0,0.0,0.0,2024-08-01
01001-01008,2024,10,10.0,2,45.0,112979.0,SIN MARCA,13.0,0.0,0.0,2024-10-01
