codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,mes_sin,mes_cos,km_log,km_por_mes,precio_log,sobre_stock,codigo_enc,marca_enc
01001-01002,2025,5,25.2,5,47.32,120801.8,SIN MARCA,3.5,0.0,0.0,2025-05-01,7.0,19.0,20.0,17.0,15.733333333333334,9.122134253196089,15.200000000000001,6.4621977685614045,0.49999999999999994,-0.8660254037844387,11.701914743022174,2.340382948604435,3.8778455536265595,1,1,1
01001-01002,2025,6,5.0,1,45.0,116651.0,SIN MARCA,3.5,0.0,0.0,2025-06-01,25.2,15.0,10.0,27.0,12.4,11.130139262381224,14.366666666666667,7.505109370733159,1.2246467991473532e-16,-1.0,11.66695042260907,1.9444917371015116,3.828641396489095,1,1,1
01001-01002,2025,7,9.0,2,45.0,104512.0,SIN MARCA,3.5,0.0,0.0,2025-07-01,5.0,7.0,15.0,10.5,13.066666666666668,10.696416845529786,13.366666666666667,7.797862955109347,-0.4999999999999997,-0.8660254037844388,11.557066744563603,1.6510095349376575,3.828641396489095,1,1,1
01001-01002,2025,8,10.0,2,40.0,156255.5,SIN MARCA,3.5,0.0,0.0,2025-08-01,9.0,25.2,19.0,10.0,8.0,2.6457513110646085,11.866666666666667,7.350283441246785,-0.8660254037844385,-0.5000000000000004,11.959254166733391,1.494906770841674,3.713572066704308,1,1,1
01001-01002,2025,9,5.0,1,45.0,175712.0,SIN MARCA,3.5,0.0,0.0,2025-09-01,10.0,5.0,15.0,15.0,8.0,2.6457513110646085,10.200000000000001,7.626270385975049,-1.0,-1.8369701987210297e-16,12.076607261193347,1.3418452512437051,3.828641396489095,1,1,1
01001-01002,2025,10,20.0,4,45.0,125421.75,SIN MARCA,3.5,0.0,0.0,2025-10-01,5.0,9.0,7.0,23.0,11.666666666666666,7.637626158259739,12.366666666666667,8.347854015653766,-0.8660254037844386,0.5000000000000001,11.739445310184173,1.1739445310184173,3.828641396489095,1,1,1
01001-01002,2025,12,24.0,4,45.0,152072.25,SIN MARCA,3.5,0.0,0.0,2025-12-01,20.0,10.0,25.2,20.0,16.333333333333332,10.016652800877816,12.166666666666666,7.985403350280229,-2.4492935982947064e-16,1.0,11.932117591642832,0.9943431326369027,3.828641396489095,1,1,1
01001-01002,2026,1,5.0,1,45.0,129464.0,SIN MARCA,3.5,0.0,0.0,2026-01-01,24.0,5.0,5.0,10.0,16.333333333333332,10.016652800877816,12.166666666666666,7.985403350280229,0.49999999999999994,0.8660254037844387,11.771165853321868,11.771165853321868,3.828641396489095,1,1,1
01001-01002,2026,5,7.0,1,45.0,116532.0,SIN MARCA,3.5,0.0,0.0,2026-05-01,5.0,20.0,9.0,15.0,12.0,10.440306508910554,11.833333333333334,8.183316361150087,0.49999999999999994,-0.8660254037844387,11.665929773679418,2.3331859547358835,3.828641396489095,1,1,1
01001-01004,2025,2,16.0,16,9.5,80101.4375,SIN MARCA,48.0,0.0,0.0,2025-02-01,24.0,16.0,17.0,4.0,18.333333333333332,4.932882862316248,16.333333333333332,5.680375574437544,0.8660254037844386,0.5000000000000001,11.291061563305057,5.645530781652528,2.3513752571634776,1,3,1
01001-01004,2025,3,18.0,18,9.5,111188.94444444444,SIN MARCA,48.0,0.0,0.0,2025-03-01,16.0,15.0,20.0,21.0,19.333333333333332,4.163331998932267,16.0,5.47722557505166,1.0,6.123233995736766e-17,11.618995229051919,3.872998409683973,2.3513752571634776,1,3,1
01001-01004,2025,4,20.0,20,9.5,77598.75,SIN MARCA,48.0,0.0,0.0,2025-04-01,18.0,24.0,7.0,17.0,18.0,2.0000000000000027,18.166666666666668,3.3714487489307428,0.8660254037844387,-0.4999999999999998,11.259319484516636,2.814829871129159,2.3513752571634776,1,3,1
01001-01004,2025,5,19.0,19,9.5,85198.47368421052,SIN MARCA,48.0,0.0,0.0,2025-05-01,20.0,16.0,16.0,8.0,19.0,1.0000000000000053,18.666666666666668,3.2041639575194454,0.49999999999999994,-0.8660254037844387,11.352750535382958,2.2705501070765917,2.3513752571634776,1,3,1
01001-01004,2025,6,16.0,16,9.5,102317.5,SIN MARCA,48.0,0.0,0.0,2025-06-01,19.0,18.0,15.0,10.0,18.333333333333332,2.081665999466135,18.833333333333332,2.9944392908634287,1.2246467991473532e-16,-1.0,11.535845776254728,1.9226409627091214,2.3513752571634776,1,3,1
01001-01004,2025,7,11.0,11,9.5,92298.81818181818,SIN MARCA,48.0,0.0,0.0,2025-07-01,16.0,20.0,24.0,14.0,15.333333333333334,4.0414518843273814,16.666666666666668,3.2041639575194436,-0.4999999999999997,-0.8660254037844388,11.432797450627879,1.6332567786611256,2.3513752571634776,1,3,1
01001-01004,2025,8,11.0,11,9.5,59196.545454545456,SIN MARCA,48.0,0.0,0.0,2025-08-01,11.0,19.0,16.0,17.0,12.666666666666666,2.8867513459481304,15.833333333333334,3.970726214015096,-0.8660254037844385,-0.5000000000000004,10.988635358096067,1.3735794197620084,2.3513752571634776,1,3,1
01001-01004,2025,9,11.0,11,9.5,97460.09090909093,SIN MARCA,48.0,0.0,0.0,2025-09-01,11.0,16.0,18.0,20.0,11.0,0.0,14.666666666666666,4.226897995772627,-1.0,-1.8369701987210297e-16,11.487208509738206,1.2763565010820228,2.3513752571634776,1,3,1
01001-01004,2025,10,14.0,14,9.5,102247.14285714286,SIN MARCA,48.0,0.0,0.0,2025-10-01,11.0,11.0,20.0,7.0,12.0,1.7320508075688794,13.666666666666666,3.3266599866332363,-0.8660254037844386,0.5000000000000001,11.535157910973775,1.1535157910973775,2.3513752571634776,1,3,1
